FID,NAME,ADDRESS,STATE,ZIP,LAT,LONG,CAFO_TYPE,CAFO_SUBTY,SIS_CODE,E_AU,MANURE_AMT,E_MANURE_A,T_MANURE_A,NOTE,Geo_note,x,y
10,"BUSBY, JERRY MACK",1590 COUNTY ROAD 2410 PICKTON,TX,75471,32.974166,-95.364166,Dairy cattle,CATTLE (Dairy);,SIS0241, ,356, ,356, , ,-10616294,3891982
11,"BUSBY, JERRY MACK",1590 COUNTY ROAD 2410 PICKTON,TX,75471,32.974166,-95.364166,Dairy cattle,CATTLE (Dairy);,SIS0241, ,356, ,356, , ,-10616294,3891982
12,"ALMEIDA, FABIAN",5620 WOODARD AVE CLEBURNE,TX,76033,32.331944,-97.497777,Dairy cattle,CATTLE (Dairy);,SIS0241, ,5140, ,5140, , ,-10853404,3806963
13,"BOUMA, MAIKO HESSEL",4252 COUNTY ROAD 2408 WINNSBORO,TX,75494,32.980666,-95.328666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,4185, ,4185, , ,-10611939,3892739
14,"OSTERKAMP, THOMAS ALAN",1361 FM 1057 HEREFORD,TX,79045,34.566666,-102.51666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,12308, ,12308, , ,-11411930,4104665
15,"OSTERKAMP, SANDRA CARROL",1361 FM 1057 HEREFORD,TX,79045,34.566666,-102.51666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,12308, ,12308, , ,-11411930,4104665
16,"OSTERKAMP, THOMAS ALAN",1350 FM 1057 HEREFORD,TX,79045,34.577,-102.5384,Dairy cattle,CATTLE (Dairy);,SIS0241, ,16475, ,16475, , ,-11414176,4106113
17,"OSTERKAMP, SANDRA CARROL",1350 FM 1057 HEREFORD,TX,79045,34.577,-102.5384,Dairy cattle,CATTLE (Dairy);,SIS0241, ,16475, ,16475, , ,-11414176,4106113
18,"JONGSMA, OLKE ANDRIES",248 COUNTY ROAD 4310 WINNSBORO,TX,75494,33.957833,-95.263166,Dairy cattle,CATTLE (Dairy);,SIS0241, ,4447, ,4447, ,Relocated,-10604616,3889537
19,"LASATER, WILLIAM MCKENDR",645 COUNTY ROAD 617 HAMILTON,TX,76531,31.700833,-98.310833,Dairy cattle,CATTLE (Dairy);,SIS0241, ,5626, ,5626, , ,-10943462,3723899
20,"LAGESCHAAR, ERWIN BERNARDES",295 COUNTY ROAD 2382 PICKTON,TX,75471,33.0585,-95.345666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,503, ,503, , ,-10614086,3903293
21,J & J DIARY,4325 COUNTY ROAD 309 DUBLIN,TX,76446,32.001666,-98.3005,Dairy cattle,CATTLE (Dairy);,SIS0241, ,12775, ,12775, , ,-10942762,3763530
22,"HOGAN, HEATH DWAYNE",4317 COUNTY ROAD 1116 CLEBURNE,TX,76033,32.301666,-97.461666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,1878, ,1878, , ,-10849590,3803195
23,"JENSEMA, AREND HOMMO",4045 COUNTY ROAD 4712 CUMBY,TX,75433,33.146388,-95.775,Dairy cattle,CATTLE (Dairy);,SIS0241, ,2254, ,2254, ,Relocaated,-10661388,3915994
24,"DEBOER, NICO JAAP",7880 E STATE HIGHWAY 154 WINNSBORO,TX,75494,32.761905,-95.170065,Dairy cattle,CATTLE (Dairy);,SIS0241, ,7039, ,7039, , ,-10594284,3863744
25,"MAYFIELD, HARVEY",2855 COUNTY ROAD 370 DUBLIN,TX,76446,32.2225,-98.401111,Dairy cattle,CATTLE (Dairy);,SIS0241, ,3752, ,3752, , ,-10954121,3792291
26,"JACOBS, ANTOON",925 Private Road 6342 SULPHUR SPRINGS,TX,75482,33.083611,-95.432777,Dairy cattle,CATTLE (Dairy);,SIS0241, ,930, ,930, ,Relocated,-10624859,3909873
27,KEMPENAAR REAL ESTATE LTD,3362 COUNTY ROAD 2346 COMO,TX,75431,33.080833,-95.41,Dairy cattle,CATTLE (Dairy);,SIS0241, ,17784, ,17784, , ,-10620993,3906039
28,"VAN RIJN, PETRUS HUBERTUS",1239 COUNTY ROAD 3363 SALTILLO,TX,75478,33.1255,-95.338383,Dairy cattle,CATTLE (Dairy);,SIS0241, ,2344, ,2344, , ,-10613442,3912443
29,"PLANTINGA, DOUWE",2492 FARM ROAD 900 W MOUNT VERNON,TX,75457,33.1,-95.283333,Dairy cattle,CATTLE (Dairy);,SIS0241, ,3455, ,3455, , ,-10606911,3908295
30,"VAN RIJN, PETRUS HUBERTUS",328 COUNTY ROAD 2346 COMO,TX,75431,33.089,-95.419,Dairy cattle,CATTLE (Dairy);,SIS0241, ,2625, ,2625, ,Relocated,-10621896,3907922
31,"HANNA, DOROTHY EVANS",4920 W FM 917 GODLEY,TX,76044,32.456666,-97.474666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,2441, ,2441, , ,-10850831,3823406
32,"NORWOOD, EDWARD EUGENE",81 COUNTY ROAD 333 GOLDTHWAITE,TX,76844,31.427426,-98.386544,Dairy cattle,CATTLE (Dairy);,SIS0241, ,10516, ,10516, , ,-10952341,3688385
33,"OSINGA, FRANS BINNERT",3409 COUNTY ROAD 434 DUBLIN,TX,76446,32.009716,-98.431,Dairy cattle,CATTLE (Dairy);,SIS0241, ,6700, ,6700, , ,-10957422,3764802
34,"HOEKMAN, GERARD",901 FM 591 DUBLIN,TX,76446,31.896388,-98.374166,Dairy cattle,CATTLE (Dairy);,SIS0241, ,9512, ,9512, , ,-10950963,3749718
35,"STEENBEEK, JENTJI",164 COUNTY ROAD 3344 PICKTON,TX,75471,33.12493,-95.3869,Dairy cattle,CATTLE (Dairy);,SIS0241, ,154, ,154, , ,-10618422,3911899
36,"STRONA, ROBERT WILLIAM",4898 FM 934 ITASCA,TX,76055,31.5921,-97.623,Dairy cattle,CATTLE (Dairy);,SIS0241, ,5634, ,5634, ,Relocated,-10809690,3784155
37,D-S-M DAIRY FARMS INC,11 PRIVATE ROAD 337 GOLDTHWAITE,TX,76844,31.440833,-98.376944,Dairy cattle,CATTLE (Dairy);,SIS0241, ,4185, ,4185, ,Relocated,-10950703,3689600
38,"STEINBERGER, ROBERT EUGENE",1 MONCREATH RD WINDTHORST,TX,76389,33.5625,-98.443666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,3752, ,3752, , ,-10958700,3970207
39,VISTA GRANDE DAIRY LTD CO,1505 CR Y PLAINVIEW,TX,79072,34.106666,-101.67694,Dairy cattle,CATTLE (Dairy);,SIS0241, ,25667, ,25667, , ,-11318626,4043134
40,"DEMPSEY, GARY MICHAEL",1430 COUNTY ROAD 395 DUBLIN,TX,76446,32.263833,-98.4245,Dairy cattle,CATTLE (Dairy);,SIS0241, ,2254, ,2254, ,Relocated,-10956720,3797019
41,"SCHIEVINK, JOCHUM",3066 COUNTY ROAD 285 DUBLIN,TX,76446,31.960333,-98.238666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,4507, ,4507, , ,-10935861,3757968
42,FOX DAIRY LTD,1241 W US HIGHWAY 70 PLAINVIEW,TX,79072,34.180833,-101.87805,Dairy cattle,CATTLE (Dairy);,SIS0241, ,27777, ,27777, , ,-11341014,4053110
43,J & S DAIRIES LLC,1260 COUNTY ROAD 1038 MULESHOE,TX,79347,34.252777,-102.81944,Dairy cattle,CATTLE (Dairy);,SIS0241, ,11213, ,11213, , ,-11446028,4063376
44,"STEWARD, MICHAEL G",355 COUNTY ROAD 252 GUSTINE,TX,76455,31.779444,-98.428333,Dairy cattle,CATTLE (Dairy);,SIS0241, ,3130, ,3130, , ,-10956993,3734395
45,NORTHSIDE FARMS LLC,4550 COUNTY ROAD I DALHART,TX,79022,35.943611,-102.26888,Dairy cattle,CATTLE (Dairy);,SIS0241, ,43800, ,43800, , ,-11384521,4292866
46,TWIN LAKES DAIRY LP,2201 FM 1861 BEN WHEELER,TX,75754,32.407433,-95.791883,Dairy cattle,CATTLE (Dairy);,SIS0241, ,6276, ,6276, ,Relocated,-10662816,3814578
47,"BOSMA, YME KLAAS",5901 FM 1689 MAY,TX,76857,31.981166,-98.883333,Dairy cattle,CATTLE (Dairy);,SIS0241, ,9522, ,9522, , ,-11007643,3760839
48,"VAN DIEDEN, ARNE",1387 COUNTY ROAD SW 3190 WINNSBORO,TX,75494,33.066666,-95.3,Dairy cattle,CATTLE (Dairy);,SIS0241, ,4066, ,4066, ,Relocated,-10605731,3868660
49,"BEUKEBOOM, FRANS",3541 COUNTY ROAD 336 DUBLIN,TX,76446,32.048055,-98.358055,Dairy cattle,CATTLE (Dairy);,SIS0241, ,7005, ,7005, , ,-10949169,3769621
50,LORRAINE LAND LLC,1741 COUNTY ROAD 353 DUBLIN,TX,76446,31.968055,-98.254166,Dairy cattle,CATTLE (Dairy);,SIS0241, ,17794, ,17794, , ,-10937329,3759887
51,SUNDANCE DAIRY LLC,1741 COUNTY ROAD 353 DUBLIN,TX,76446,31.968055,-98.254166,Dairy cattle,CATTLE (Dairy);,SIS0241, ,17794, ,17794, , ,-10937329,3759887
52,"BRAND, ELTJE FRANS","FM1702, Gustine, TX 76455, USA",TX,76452,31.766666,-98.366666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,10859, ,10859, , ,-10949965,3732418
53,"BRAND, ELTJE FRANS",14750 HIGHWAY 16 COMANCHE,TX,76442,31.858611,-98.605,Dairy cattle,CATTLE (Dairy);,SIS0241, ,18028, ,18028, , ,-10976659,3744766
54,POSTMUS DAIRY LLC,2855 COUNTY ROAD 310 DUBLIN,TX,76446,31.9725,-98.303055,Dairy cattle,CATTLE (Dairy);,SIS0241, ,13578, ,13578, , ,-10943047,3759702
55,"HANCOCK, LAWRENCE ALAN",513 COUNTY ROAD 123 MULESHOE,TX,79347,34.2375,-102.82861,Dairy cattle,CATTLE (Dairy);,SIS0241, ,12724, ,12724, , ,-11446830,4060738
56,TJ DAIRY PARTNERS,"FM 37, Amherst, TX 79312, USA",TX,79312,33.992222,-102.42305,Dairy cattle,CATTLE (Dairy);,SIS0241, ,19097, ,19097, , ,-11401683,4027758
57,VB RANCH LLC,"Co Rd 519, Hart, TX 79043, USA",TX,79043,34.3625,-102.22055,Dairy cattle,CATTLE (Dairy);,SIS0241, ,35347, ,35347, , ,-11379141,4077582
58,WHITE RIVER RANCH LLC,"Co Rd 519, Hart, TX 79043, USA",TX,79043,34.3625,-102.22055,Dairy cattle,CATTLE (Dairy);,SIS0241, ,35347, ,35347, , ,-11379141,4077582
59,MT MCCLOY FARMS LLC,"Ranch Rd 1598, Morse",TX,79062,35.948333,-101.48944,Dairy cattle,CATTLE (Dairy);,SIS0241, ,18764, ,18764, ,Unidentifiable,-11301627,4294870
60,"SCHOUTEN, MICHAEL JAMES",3850 COUNTY ROAD 21 HEREFORD,TX,79045,35.048611,-102.375,Dairy cattle,CATTLE (Dairy);,SIS0241, ,63948, ,63948, , ,-11396334,4170490
61,"VANDEPOL, JOHN MARIUS",1563 FM 2479 AMHERST,TX,79312,34.097222,-102.36805,Dairy cattle,CATTLE (Dairy);,SIS0241, ,19388, ,19388, , ,-11395560,4041865
62,"VANDEPOL, SUSAN",1563 FM 2479 AMHERST,TX,79312,34.097222,-102.36805,Dairy cattle,CATTLE (Dairy);,SIS0241, ,19388, ,19388, , ,-11395560,4041865
63,LEGACY FARMS LP,1151 COUNTY ROAD AA PLAINVIEW,TX,79072,34.159722,-101.635,Dairy cattle,CATTLE (Dairy);,SIS0241, ,39639, ,39639, , ,-11313957,4050270
64,LEGACY DAIRY FARMS LTD,1151 COUNTY ROAD AA PLAINVIEW,TX,79072,34.159722,-101.635,Dairy cattle,CATTLE (Dairy);,SIS0241, ,39639, ,39639, , ,-11313957,4050270
65,"SMULDERS, JOOST",4200 FM 3422 DALHART,TX,79022,35.928055,-102.33527,Dairy cattle,CATTLE (Dairy);,SIS0241, ,42048, ,42048, , ,-11391460,4291324
66,"DEVUYST, RICHARD",12618 US HIGHWAY 60 PAMPA,TX,79065,35.54586,-100.84202,Dairy cattle,CATTLE (Dairy);,SIS0241, ,21864, ,21864, , ,-11225683,4238312
67,HILLTOP DAIRY LLC,690 COUNTY ROAD 45 EARTH,TX,79031,34.228888,-102.59861,Dairy cattle,CATTLE (Dairy);,SIS0241, ,6360, ,6360, , ,-11421226,4059578
68,"WATERLANDER, HARMEN",769 PRIVATE ROAD 973 DUBLIN,TX,76446,32.258466,-98.493983,Dairy cattle,CATTLE (Dairy);,SIS0241, ,3312, ,3312, , ,-10963925,3797613
69,"MOERMAN, WAYNE",250 COUNTY ROAD 105 COMANCHE,TX,76442,31.93,-98.66,Dairy cattle,CATTLE (Dairy);,SIS0241, ,18028, ,18028, , ,-10982782,3754126
70,"DEGROOT, EGBERT JIM",1420 HIGHWAY 86 BOVINA,TX,79009,34.521111,-102.78916,Dairy cattle,CATTLE (Dairy);,SIS0241, ,16097, ,16097, , ,-11442855,4099252
71,"HUMPHREY, MARK","198 FM1567, Como, TX 75431, USA",TX,75431,33.069722,-95.504444,Dairy cattle,CATTLE (Dairy);,SIS0241, ,523, ,523, , ,-10631622,3904653
72,"OPITZ, SCOTT",1021 FM 1651 CANTON,TX,75103,32.477333,-95.863388,Dairy cattle,CATTLE (Dairy);,SIS0241, ,1016, ,1016, , ,-10671464,3826133
73,"OPITZ, SCOTT",1021 FM 1651 CANTON,TX,75103,32.477333,-95.863388,Dairy cattle,CATTLE (Dairy);,SIS0241, ,1016, ,1016, , ,-10671464,3826133
74,HEIFER RANCH AT ARROYO SECO LTD,1767 FM 2337 HALE CENTER,TX,79041,34.07,-101.7625,Dairy cattle,CATTLE (Dairy);,SIS0241, ,52378, ,52378, , ,-11328151,4038206
75,"AZUA, MANUEL SILVA",3440 COUNTY ROAD 401 DUBLIN,TX,76446,32.262,-98.4025,Dairy cattle,CATTLE (Dairy);,SIS0241, ,1502, ,1502, , ,-10954117,3797752
76,DALHART JERSEY RANCH INC,1550 FM 1727 DALHART,TX,79022,36.080833,-102.77638,Dairy cattle,CATTLE (Dairy);,SIS0241, ,35867, ,35867, , ,-11441011,4311546
77,"HETTINGA, HEIN","950 Ranch Rd 145, Farwell, TX 79325, USA",TX,79325,34.377222,-102.89833,Dairy cattle,CATTLE (Dairy);,SIS0241, ,12410, ,12410, , ,-11454591,4079568
78,"SCHOUTEN, PETER HENRY SR",134 PRIVATE ROAD 1246 STEPHENVILLE,TX,76401,32.147777,-97.995833,Dairy cattle,CATTLE (Dairy);,SIS0241, ,3737, ,3737, , ,-10908050,3782775
79,"SCHOUTEN, NOVA DARLENE",134 PRIVATE ROAD 1246 STEPHENVILLE,TX,76401,32.147777,-97.995833,Dairy cattle,CATTLE (Dairy);,SIS0241, ,3737, ,3737, , ,-10908050,3782775
80,S-COW-10 DAIRY LLC,134 PRIVATE ROAD 1246 STEPHENVILLE,TX,76401,32.147777,-97.995833,Dairy cattle,CATTLE (Dairy);,SIS0241, ,3737, ,3737, , ,-10908050,3782775
81,SKYWARD DAIRY,3850 COUNTY ROAD G DALHART,TX,79022,35.963333,-102.39777,Dairy cattle,CATTLE (Dairy);,SIS0241, ,13801, ,13801, , ,-11398869,4295578
82,"WEST, RONNIE DEWAYNE",2324 N COUNTY ROAD 1226 GODLEY,TX,76044,32.3525,-97.533333,Dairy cattle,CATTLE (Dairy);,SIS0241, ,2441, ,2441, , ,-10857199,3810053
83,"GUESS, MARK",2747 COUNTY ROAD 28 FRIONA,TX,79085,34.693611,-102.36222,Dairy cattle,CATTLE (Dairy);,SIS0241, ,15485, ,15485, ,Relocated,-11415289,4122337
84,"VANDERHAM, RONALD HUBERT",2300 COUNTY ROAD 628 HART,TX,79043,34.348333,-102.14861,Dairy cattle,CATTLE (Dairy);,SIS0241, ,38419, ,38419, , ,-11371132,4075672
85,"VANDERHAM, CHERYLEE",2300 COUNTY ROAD 628 HART,TX,79043,34.348333,-102.14861,Dairy cattle,CATTLE (Dairy);,SIS0241, ,38419, ,38419, , ,-11371132,4075672
86,"VANDERHAM, ZACHARY SCOTT",2300 COUNTY ROAD 628 HART,TX,79043,34.348333,-102.14861,Dairy cattle,CATTLE (Dairy);,SIS0241, ,38419, ,38419, , ,-11371132,4075672
87,DEER CREEK FEEDING LLC,13401 US HIGHWAY 385 DALHART,TX,79022,36.233333,-102.54111,Dairy cattle,CATTLE (Dairy);,SIS0241, ,59075, ,59075, , ,-11414825,4332776
88,BALL LAND LLLP,13401 US HIGHWAY 385 DALHART,TX,79022,36.233333,-102.54111,Dairy cattle,CATTLE (Dairy);,SIS0241, ,59075, ,59075, , ,-11414825,4332776
89,COUNTY LINE DAIRY LLC,"Co Rd 1043, Muleshoe, TX 79347, USA",TX,79347,34.251388,-102.63111,Dairy cattle,CATTLE (Dairy);,SIS0241, ,13286, ,13286, , ,-11425039,4062719
90,"MIDDLETON, BOBBY JR",650 RS COUNTY ROAD 4410 POINT,TX,75472,32.953333,-95.788333,Dairy cattle,CATTLE (Dairy);,SIS0241, ,262, ,262, ,Relocated,-10663558,3889851
91,"DYKSTERHUIS, EVERT",1589 COUNTY ROAD 510 DIMMITT,TX,79027,34.5175,-102.36361,Dairy cattle,CATTLE (Dairy);,SIS0241, ,12001, ,12001, , ,-11395066,4098504
92,"UNTIEDT, MARIA",1589 COUNTY ROAD 510 DIMMITT,TX,79027,34.5175,-102.36361,Dairy cattle,CATTLE (Dairy);,SIS0241, ,12001, ,12001, , ,-11395066,4098504
93,"SKILES, CLIFFORD ALCIE JR",12309 FM 807 DALHART,TX,79022,36.1,-102.25,Dairy cattle,CATTLE (Dairy);,SIS0241, ,52378, ,52378, , ,-11381763,4313093
94,"HAAKMA, ERIC",640 COUNTY ROAD DD FARWELL,TX,79325,34.33032,-102.92676,Dairy cattle,CATTLE (Dairy);,SIS0241, ,17870, ,17870, , ,-11457756,4073243
95,"DE BOER, DIRK",338 COUNTY ROAD 4507 DE KALB,TX,75559,33.363333,-94.688333,Dairy cattle,CATTLE (Dairy);,SIS0241, ,6083, ,6083, , ,-10540205,3943664
96,"VOLLEMAN, FRANK",259 COUNTY ROAD 324 COMANCHE,TX,76442,31.881916,-98.501722,Dairy cattle,CATTLE (Dairy);,SIS0241, ,1833, ,1833, , ,-10965162,3747821
97,LONE STAR CALF RANCH LP,4103 COUNTY RD E HEREFORD,TX,79045,34.891944,-102.31222,Dairy cattle,CATTLE (Dairy);,SIS0241, ,75323, ,75323, , ,-11389345,4149207
98,"JACOBS, JOHANNA",1088 COUNTY ROAD 2341 SULPHUR SPRINGS,TX,75482,33.111388,-95.463055,Dairy cattle,CATTLE (Dairy);,SIS0241, ,1541, ,1541, , ,-10626899,3910099
99,LOMA VISTA DAIRY INC,"I-10, Fort Hancock, TX 79839, USA",TX,79839,31.235555,-105.78694,Dairy cattle,CATTLE (Dairy);,SIS0241, ,6315, ,6315, , ,-11776022,3663022
100,HANSEN FARMING APS,"12766 Co Rd 10, Perryton, TX 79070, USA",TX,79070,36.151111,-100.90166,Dairy cattle,CATTLE (Dairy);,SIS0241, ,2414, ,2414, , ,-11232888,4322151
101,"KOKE, JOHAN GERRIT","19341 FM 219, Dublin, TX 76446, USA",TX,79446,32.226388,-98.372777,Dairy cattle,CATTLE (Dairy);,SIS0241, ,1815.78, ,1815.78, , ,-10950808,3793065
102,FULL CIRCLE JERSEYS,3000 BEACH LN DALHART,TX,79022,36.13436,-102.53099,Dairy cattle,CATTLE (Dairy);,SIS0241, ,19270, ,19270, , ,-11413699,4319126
103,"HARRIS, JERRY DEAN",23200 COUNTY ROAD 441 RISING STAR,TX,76471,32.051944,-98.960555,Dairy cattle,CATTLE (Dairy);,SIS0241, ,6661, ,6661, , ,-11016239,3770132
104,A-TEX DAIRY LLC,2076 HIGHWAY 86 FRIONA,TX,79035,34.525833,-102.67888,Dairy cattle,CATTLE (Dairy);,SIS0241, ,32040, ,32040, , ,-11430251,4098766
105,"HANCOCK, LAWRENCE ALAN","Co Rd 123, Muleshoe, TX 79347, USA",TX,79347,34.228055,-102.82083,Dairy cattle,CATTLE (Dairy);,SIS0241, ,16649, ,16649, , ,-11445963,4059466
106,"HOGG, ROBERT DAVID","Co Rd 1021, Benjamin, TX 79505, USA",TX,76903,33.555833,-99.793803,Dairy cattle,CATTLE (Dairy);,SIS0241, ,21741, ,21741, ,Relocated,-11109456,3972712
107,"BRAND, ELTJE FRANS","Co Rd 516, Dimmitt, TX 79027, USA",TX,79027,34.40177,-102.27798,Dairy cattle,CATTLE (Dairy);,SIS0241, ,97090, ,97090, , ,-11384256,4082979
108,"BRAND, JONIE ANN","Co Rd 516, Dimmitt, TX 79027, USA",TX,79027,34.40177,-102.27798,Dairy cattle,CATTLE (Dairy);,SIS0241, ,97090, ,97090, , ,-11384256,4082979
109,CAPROCK DAIRY LLC,160 COUNTY ROAD 50 MULESHOE,TX,79347,34.284166,-102.601944,Dairy cattle,CATTLE (Dairy);,SIS0241, ,26244, ,26244, , ,-11421597,4067023
110,WESTSIDE DAIRY,1061 FM 303 BROWNFIELD,TX,79316,33.24489,-102.41638,Dairy cattle,CATTLE (Dairy);,SIS0241, ,11169, ,11169, , ,-11400940,3927855
111,D & J DAIRY,"Rd 16th, Hereford, TX 79045, USA",TX,79045,34.965555,-102.5,Dairy cattle,CATTLE (Dairy);,SIS0241, ,74110, ,74110, , ,-11410249,4159202
112,STAR DAIRIES LLC,976 FARM ROAD 3426 PARIS,TX,75462,33.534722,-95.484444,Dairy cattle,CATTLE (Dairy);,SIS0241, ,7511, ,7511, , ,-10629645,3967006
113,DAISY FARMS LLC,4482 HIGHWAY 24 PARIS,TX,75460,33.573333,-95.587777,Dairy cattle,CATTLE (Dairy);,SIS0241, ,53550, ,53550, , ,-10640631,3971798
114,"MOERMAN, WAYNE",500 COUNTY ROAD 102 COMANCHE,TX,76442,31.916666,-98.616666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,5116, ,5116, ,Relocated,-10979746,3753758
115,SUMMIT DAIRY,1260 VZ COUNTY ROAD 2301 CANTON,TX,75103,32.45217,-95.90439,Dairy cattle,CATTLE (Dairy);,SIS0241, ,1016, ,1016, , ,-10675863,3822693
116,"COLLIER, WILL",3300 COUNTY ROAD 461 SNYDER,TX,79549,32.683333,-100.816666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,18417, ,18417, , ,-11222861,3853347
117,PRESIDIO FARMS LLC,2180 FM 145 MULESHOE,TX,79347,34.3841,-102.6682,Dairy cattle,CATTLE (Dairy);,SIS0241, ,20531, ,20531, , ,-11428973,4080495
118,RJ DAIRY LLC,4366 COUNTY ROAD 340 DUBLIN,TX,76446,32.077777,-98.393611,Dairy cattle,CATTLE (Dairy);,SIS0241, ,4600, ,4600, , ,-10952325,3773444
119,"RODRIGUEZ, ARTURO",4366 COUNTY ROAD 340 DUBLIN,TX,76446,32.077777,-98.393611,Dairy cattle,CATTLE (Dairy);,SIS0241, ,4600, ,4600, , ,-10952325,3773444
120,"JIMENEZ, HECTOR",4366 COUNTY ROAD 340 DUBLIN,TX,76446,32.077777,-98.393611,Dairy cattle,CATTLE (Dairy);,SIS0241, ,4600, ,4600, , ,-10952325,3773444
121,"SUSTAIRE, MARK BRENT",344 COUNTY ROAD 3373 WINNSBORO,TX,75494,33.101944,-95.321388,Dairy cattle,CATTLE (Dairy);,SIS0241, ,1878, ,1878, , ,-10610865,3909102
122,"DAVIS, GARRY CLYDE",708 COUNTY ROAD 220 COMANCHE,TX,76442,31.859722,-98.501111,Dairy cattle,CATTLE (Dairy);,SIS0241, ,2694, ,2694, , ,-10965094,3744912
123,"VOLLEMAN, FRANK",708 COUNTY ROAD 220 COMANCHE,TX,76442,31.859722,-98.501111,Dairy cattle,CATTLE (Dairy);,SIS0241, ,2694, ,2694, , ,-10965094,3744912
124,COLDWATER DAIRY LLC,5490 COUNTY ROAD Y STRATFORD,TX,79084,36.146388,-102.095555,Dairy cattle,CATTLE (Dairy);,SIS0241, ,28288, ,28288, , ,-11365226,4320784
125,AURORA ORGANIC FARMS INC,5490 COUNTY ROAD Y STRATFORD,TX,79084,36.146388,-102.095555,Dairy cattle,CATTLE (Dairy);,SIS0241, ,28288, ,28288, , ,-11365226,4320784
126,COLDWATER DAIRY LLC,5490 COUNTY ROAD Y STRATFORD,TX,79084,36.146388,-102.111666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,22630, ,22630, , ,-11367020,4320784
127,AURORA ORGANIC FARMS INC,5490 COUNTY ROAD Y STRATFORD,TX,79084,36.146388,-102.111666,Dairy cattle,CATTLE (Dairy);,SIS0241, ,22630, ,22630, , ,-11367020,4320784
128,"COENEN, WILHELMUS",976 COUNTY ROAD NW 1015 MOUNT VERNON,TX,75457,33.2,-95.284166,Dairy cattle,CATTLE (Dairy);,SIS0241, ,3752, ,3752, , ,-10606986,3921882
129,"DIPPLE, GERALD BENTON JR",4519 COUNTY ROAD 340 DUBLIN,TX,76446,32.075555,-98.385833,Dairy cattle,CATTLE (Dairy);,SIS0241, ,13624, ,13624, , ,-10952262,3773233
130,AURORA ORGANIC FARMS INC,4519 COUNTY ROAD 340 DUBLIN,TX,76446,32.075555,-98.385833,Dairy cattle,CATTLE (Dairy);,SIS0241, ,13624, ,13624, , ,-10952262,3773233
131,"NYMAN, BRADFORD ELOF",4050 FM 297 DALHART,TX,79022,36.05,-102.333333,Dairy cattle,CATTLE (Dairy);,SIS0241, ,62579, ,62579, , ,-11392653,4307991
